"comparison","OR","lower_CI","upper_CI","p_value"
"Atezolizumab+BCG vs Sasanlimab+BCG",0.499114711315533,0.243228780103072,1.02420237829594,0.0581195994811179
"Atezolizumab+BCG vs Durvalumab+BCG",0.454137339145811,0.202401848223489,1.01896659846065,0.0555651156072501
"Sasanlimab+BCG vs Durvalumab+BCG",0.909885701322702,0.415231130234205,1.99381002335866,0.813475223890381
